date,normalized_date,total_click,relative_click,assessment_type
-18,-0.07468879668049792,9803,2.668870698997633,
-17,-0.07053941908713693,5564,1.5148012413774183,
-16,-0.06639004149377593,5754,1.566528817916187,
-15,-0.06224066390041494,4826,1.313880444084727,
-14,-0.058091286307053944,2972,0.8091281972274779,
-13,-0.05394190871369295,3339,0.9090440950681523,
-12,-0.04979253112033195,3263,0.8883530644526448,
-11,-0.04564315352697095,3510,0.9555989139530442,
-10,-0.04149377593360996,3543,0.9645831772466199,
-9,-0.03734439834024896,2947,0.8023219371565873,
-8,-0.03319502074688797,2421,0.6591182252650485,
-7,-0.029045643153526972,3988,1.085734606508473,
-6,-0.024896265560165973,4366,1.1886452587803393,
-5,-0.02074688796680498,6065,1.6511986931980664,
-4,-0.016597510373443983,6095,1.6593662052831353,
-3,-0.012448132780082987,5026,1.368330524651852,
-2,-0.008298755186721992,5058,1.3770425375425919,
-1,-0.004149377593360996,5085,1.3843932984191538,
0,0.0,8106,2.2068617653855775,
1,0.004149377593360996,9038,2.46059914082838,
2,0.008298755186721992,11447,3.116450361259401,
3,0.012448132780082987,10321,2.809896407666487,
4,0.016597510373443983,8889,2.4200338308058718,
5,0.02074688796680498,7464,2.032077006765106,
6,0.024896265560165973,6562,1.786507143407372,
7,0.029045643153526972,6097,1.6599107060888065,
8,0.03319502074688797,7569,2.060663299062847,
9,0.03734439834024896,10138,2.7600745839475676,
10,0.04149377593360996,7854,2.138254663871,
11,0.04564315352697095,6904,1.879616781177156,
12,0.04979253112033195,6284,1.7108215314190685,
13,0.05394190871369295,6138,1.671072972605067,
14,0.058091286307053944,7218,1.9651034076675422,
15,0.06224066390041494,6893,1.8766220267459641,
16,0.06639004149377593,9178,2.4987141972253677,
17,0.07053941908713693,7945,2.1630294505290415,
18,0.07468879668049792,7413,2.018192236220489,
19,0.07883817427385892,8217,2.2370815601003318,
20,0.08298755186721991,6047,1.6462981859470251,
21,0.08713692946058091,7400,2.014652980983626,
22,0.0912863070539419,9453,2.5735830580051644,
23,0.0954356846473029,12033,3.2759890973210775,
24,0.0995850622406639,12591,3.427904822103356,
25,0.1037344398340249,11801,3.2128270038632123,TMA
26,0.1078838174273859,6229,1.695847759263109,
27,0.11203319502074689,5698,1.551282795357392,
28,0.11618257261410789,5428,1.4777751865917732,
29,0.12033195020746888,5450,1.483764695454157,
30,0.12448132780082988,7208,1.962380903639186,
31,0.12863070539419086,5913,1.6098166319670515,
32,0.13278008298755187,6212,1.6912195024149033,
33,0.13692946058091288,5508,1.4995552188186232,
34,0.14107883817427386,4471,1.21723155107808,
35,0.14522821576763487,7915,2.154861938443973,
36,0.14937759336099585,3759,1.023389264259115,
37,0.15352697095435686,5637,1.534675520784419,
38,0.15767634854771784,5615,1.5286860119220351,
39,0.16182572614107885,3871,1.053881309376705,
40,0.16597510373443983,3526,0.9599549203984142,
41,0.17012448132780084,3046,0.8292747270373142,
42,0.17427385892116182,3494,0.9512429075076743,
43,0.17842323651452283,3724,1.013860500159868,
44,0.1825726141078838,5117,1.393105311309894,
45,0.18672199170124482,4804,1.3078909352223431,
46,0.1908713692946058,4950,1.3476394940363445,
47,0.1950207468879668,4408,1.2000797756994357,
48,0.1991701244813278,4229,1.1513469535918588,
49,0.2033195020746888,5146,1.4010005729921269,
50,0.2074688796680498,6618,1.8017531659661672,
51,0.21161825726141079,9102,2.47802316660986,
52,0.2157676348547718,9889,2.692284233641497,
53,0.21991701244813278,8857,2.4113218179151317,TMA
54,0.22406639004149378,3459,0.9417141434084273,
55,0.22821576763485477,2684,0.7307200812108179,
56,0.23236514522821577,2297,0.6253591753134309,
57,0.23651452282157676,2125,0.5785321060257034,
58,0.24066390041493776,3492,0.950698406702003,
59,0.24481327800829875,3658,0.9958919735727167,
60,0.24896265560165975,3151,0.8578610193350548,
61,0.25311203319502074,2759,0.7511388614234897,
62,0.2572614107883817,2200,0.5989508862383753,
63,0.26141078838174275,2473,0.673275246212501,
64,0.26556016597510373,2809,0.764751381565271,
65,0.2697095435684647,3874,1.0546980605852119,
66,0.27385892116182575,3446,0.9381748881715642,
67,0.27800829875518673,3040,0.8276412246203004,
68,0.2821576763485477,3154,0.8586777705435616,
69,0.2863070539419087,2755,0.7500498598121472,
70,0.29045643153526973,3068,0.8352642358996979,
71,0.2946058091286307,3784,1.0301955243300056,
72,0.2987551867219917,5225,1.4225083548161412,
73,0.3029045643153527,5797,1.578235585238119,
74,0.3070539419087137,5652,1.5387592768269533,TMA
75,0.3112033195020747,2253,0.6133801575886634,
76,0.3153526970954357,2178,0.5929613773759915,
