date,normalized_date,total_click,relative_click,assessment_type
-11,-0.041044776119402986,11011,2.007274962189598,
-10,-0.03731343283582089,7380,1.3453536664207824,
-9,-0.033582089552238806,5547,1.0112028167528564,
-8,-0.029850746268656716,3892,0.7095008766544288,
-7,-0.026119402985074626,4182,0.7623670776384434,
-6,-0.022388059701492536,4981,0.9080225762116418,
-5,-0.018656716417910446,7280,1.327123941943536,
-4,-0.014925373134328358,7741,1.4111629717836418,
-3,-0.011194029850746268,7864,1.4335855328906548,
-2,-0.007462686567164179,7506,1.3683231192621128,
-1,-0.0037313432835820895,7186,1.3099880009349243,
0,0.0,8369,1.5256456415007489,
1,0.0037313432835820895,9816,1.789429754686504,
2,0.007462686567164179,14378,2.6210697853384834,
3,0.011194029850746268,12680,2.3115290637148402,
4,0.014925373134328358,11932,2.1751707246250374,
5,0.018656716417910446,9286,1.6928122149570983,
6,0.022388059701492536,6866,1.251652882607736,
7,0.026119402985074626,6759,1.2321470774170824,
8,0.029850746268656716,10655,1.9423771430506012,
9,0.033582089552238806,11528,2.101522637736962,
10,0.03731343283582089,11067,2.0174836078968563,
11,0.041044776119402986,9980,1.819326502829188,
12,0.04477611940298507,13396,2.4420538909719243,
13,0.048507462686567165,12749,2.3241075736041403,
14,0.05223880597014925,11131,2.029150631562294,
15,0.055970149253731345,18639,3.3978383453139513,
16,0.05970149253731343,21509,3.9210314378109223,
17,0.06343283582089553,21028,3.8333464630753675,
18,0.06716417910447761,22707,4.139423537048334,
19,0.0708955223880597,25061,4.568551251242714,
20,0.07462686567164178,6751,1.2306886994589026,
21,0.07835820895522388,6443,1.1745411480689838,
22,0.08208955223880597,8351,1.5223642910948447,
23,0.08582089552238806,9491,1.7301831501354532,
24,0.08955223880597014,9116,1.6618216833457793,
25,0.09328358208955224,8355,1.5230934800739344,
26,0.09701492537313433,8026,1.4631176865437938,
27,0.10074626865671642,6498,1.1845674965314694,
28,0.1044776119402985,7298,1.3304052923494403,
29,0.10820895522388059,12413,2.262855699360592,
30,0.11194029850746269,14468,2.637476537368005,
31,0.11567164179104478,15705,2.862978229151543,
32,0.11940298507462686,16822,3.066604251562385,
33,0.12313432835820895,11433,2.084204399483578,TMA
34,0.12686567164179105,4746,0.8651827236901128,
35,0.13059701492537312,3779,0.6889012879951405,
36,0.13432835820895522,5003,0.912033115596636,
37,0.13805970149253732,6705,1.2223030261993693,
38,0.1417910447761194,6199,1.1300606203445027,
39,0.1455223880597015,5298,0.9658108028045128,
40,0.14925373134328357,5402,0.9847697162608491,
41,0.15298507462686567,3952,0.7204387113407766,
42,0.15671641791044777,3909,0.7125999298155608,
43,0.16044776119402984,5610,1.0226875431735216,
44,0.16417910447761194,7411,1.3510048810087287,
45,0.16791044776119404,7112,1.296498004821762,
46,0.17164179104477612,7456,1.3592082570234896,
47,0.17537313432835822,7178,1.3085296229767447,
48,0.1791044776119403,5830,1.0627929370234637,
49,0.1828358208955224,4915,0.8959909580566593,
50,0.1865671641791045,7226,1.317279890725823,
51,0.19029850746268656,7952,1.4496276904306316,
52,0.19402985074626866,7275,1.3262124557196737,
53,0.19776119402985073,7403,1.349546503050549,
54,0.20149253731343283,6387,1.164332502361726,
55,0.20522388059701493,4311,0.7858834222140911,
56,0.208955223880597,3787,0.6903596659533202,
57,0.2126865671641791,5986,1.091231307207968,
58,0.21641791044776118,7629,1.3907456803691258,
59,0.22014925373134328,6756,1.231600185682765,
60,0.22388059701492538,6403,1.1672492582780853,
61,0.22761194029850745,5371,0.9791185016729027,
62,0.23134328358208955,4549,0.8292701664699376,
63,0.23507462686567165,4759,0.867552587872155,
64,0.23880597014925373,7168,1.3067066505290201,
65,0.24253731343283583,10626,1.9370905229521995,
66,0.2462686567164179,11365,2.0718081868390503,
67,0.25,12303,2.2428030024356214,
68,0.2537313432835821,8688,1.583798462583165,TMA
69,0.2574626865671642,3018,0.5501730847232955,
70,0.26119402985074625,2156,0.3930328597294318,
71,0.26492537313432835,2655,0.4839991848708912,
72,0.26865671641791045,3905,0.7118707408364708,
73,0.27238805970149255,3837,0.6994745281919433,
74,0.27611940298507465,3659,0.6670256186224448,
75,0.2798507462686567,2968,0.5410582224846724,
76,0.2835820895522388,1780,0.32448909569498546,
77,0.2873134328358209,1403,0.25576303441576664,
78,0.291044776119403,1430,0.26068506002462316,
79,0.2947761194029851,1779,0.324306798450213,
80,0.29850746268656714,1168,0.21292318189423765,
81,0.30223880597014924,712,0.12979563827799417,
82,0.30597014925373134,970,0.17682832742928983,
83,0.30970149253731344,1289,0.23498114851170576,
84,0.31343283582089554,1158,0.211100209446513,
85,0.31716417910447764,1713,0.3122751802952304,
86,0.3208955223880597,2162,0.3941266431980666,
87,0.3246268656716418,5727,1.0440163208118998,
88,0.3283582089552239,1840,0.33542693038133325,
89,0.332089552238806,2618,0.47725418681431003,
90,0.3358208955223881,2304,0.42001285195575644,
91,0.33955223880597013,2002,0.3649590840344724,
92,0.34328358208955223,3285,0.5988464490775434,
93,0.34701492537313433,3638,0.6631973764822231,
94,0.35074626865671643,3425,0.6243680633456883,
95,0.35447761194029853,3490,0.6362173842558985,
96,0.3582089552238806,3575,0.6517126500615579,
97,0.3619402985074627,2713,0.4945724250676941,
98,0.3656716417910448,2990,0.5450687618696666,
99,0.3694029850746269,3897,0.7104123628782911,
100,0.373134328358209,4420,0.8057538218942897,
101,0.376865671641791,5081,0.9262523006888882,
102,0.3805970149253731,4746,0.8651827236901128,
103,0.3843283582089552,3511,0.6400456263961202,
104,0.3880597014925373,2863,0.5219170117835636,
105,0.3917910447761194,2956,0.5388706555474028,
106,0.39552238805970147,4179,0.7618201859041259,
107,0.39925373134328357,6125,1.1165706242313405,
108,0.40298507462686567,5909,1.077194419360488,
109,0.40671641791044777,4984,0.9085694679459593,
110,0.41044776119402987,4540,0.8276294912669854,
