date,normalized_date,total_click,relative_click,assessment_type
-16,-0.05947955390334572,2911,2.0833024712983073,
-15,-0.055762081784386616,1144,0.8187214109121483,
-14,-0.05204460966542751,1065,0.7621838309627954,
-13,-0.048327137546468404,977,0.6992052608926301,
-12,-0.04460966542750929,667,0.47734893450909344,
-11,-0.040892193308550186,1181,0.8452010369643769,
-10,-0.03717472118959108,1194,0.8545046893611058,
-9,-0.03345724907063197,1367,0.9783148327944989,
-8,-0.02973977695167286,2181,1.5608666059435274,
-7,-0.026022304832713755,1150,0.8230154043260232,
-6,-0.022304832713754646,1433,1.0255487603471227,
-5,-0.01858736059479554,1444,1.0334210816058935,
-4,-0.01486988847583643,1570,1.1235949432972665,
-3,-0.011152416356877323,1725,1.2345231064890347,
-2,-0.007434944237918215,2270,1.6245608415826718,
-1,-0.0037174721189591076,2162,1.5472689601329237,
0,0.0,2948,2.109782097350536,
1,0.0037174721189591076,3436,2.4590268950123613,
2,0.007434944237918215,4042,2.892720229813727,
3,0.011152416356877323,2968,2.124095408730119,
4,0.01486988847583643,3239,2.3180407779234686,
5,0.01858736059479554,3412,2.441850921356862,
6,0.022304832713754646,2276,1.6288548349965468,
7,0.026022304832713755,2205,1.5780425795990272,
8,0.02973977695167286,2055,1.4706927442521545,
9,0.03345724907063197,3070,2.1970932967659924,
10,0.03717472118959108,2494,1.7848699290340015,
11,0.040892193308550186,1662,1.1894361756433482,
12,0.04460966542750929,1561,1.117153953176454,
13,0.048327137546468404,1255,0.898160289068834,
14,0.05204460966542751,1172,0.8387600468435645,
15,0.055762081784386616,1599,1.1443492447976618,
16,0.05947955390334572,1290,0.9232085839831042,
17,0.06319702602230483,1912,1.3683525678881359,
18,0.06691449814126393,1675,1.1987398280400772,
19,0.07063197026022305,1447,1.035568078312831,
20,0.07434944237918216,858,0.6140410581841113,
21,0.07806691449814127,933,0.6677159758575475,
22,0.08178438661710037,1369,0.9797461639324572,
23,0.08550185873605948,1740,1.245258090023722,
24,0.08921933085501858,1458,1.0434403995716015,
25,0.09293680297397769,1348,0.964717186983895,
26,0.09665427509293681,1333,0.9539822034492078,
27,0.10037174721189591,814,0.5825517731490286,
28,0.10408921933085502,814,0.5825517731490286,
29,0.10780669144981413,1064,0.7614681653938162,
30,0.11152416356877323,1431,1.0241174292091646,
31,0.11524163568773234,1725,1.2345231064890347,
32,0.11895910780669144,1002,0.7170969001171089,
33,0.12267657992565056,1333,0.9539822034492078,
34,0.12639405204460966,981,0.7020679231685467,
35,0.13011152416356878,775,0.5546408159588417,
36,0.13382899628252787,956,0.6841762839440679,
37,0.137546468401487,1516,1.0849490025723922,
38,0.1412639405204461,1283,0.9181989250002502,
39,0.1449814126394052,917,0.6562653267538812,
40,0.14869888475836432,796,0.5696697929074039,
41,0.1524163568773234,446,0.3191868437647012,
42,0.15613382899628253,682,0.4880839180437807,
43,0.15985130111524162,712,0.5095538851131552,
44,0.16356877323420074,1409,1.0083727866916232,
45,0.16728624535315986,1171,0.8380443812745854,
46,0.17100371747211895,1181,0.8452010369643769,
47,0.17472118959107807,851,0.6090313992012572,
48,0.17843866171003717,849,0.6076000680632989,
49,0.1821561338289963,774,0.5539251503898626,
50,0.18587360594795538,793,0.5675227962004664,
51,0.1895910780669145,1035,0.7407138638934209,
52,0.19330855018587362,1332,0.9532665378802286,
53,0.1970260223048327,869,0.6219133794428818,
54,0.20074349442379183,649,0.46446695426746876,
55,0.20446096654275092,499,0.35711711892059617,
56,0.20817843866171004,650,0.4651826198364479,
57,0.21189591078066913,732,0.5238671964927383,
58,0.21561338289962825,1001,0.7163812345481297,
59,0.21933085501858737,1389,0.9940594753120402,
60,0.22304832713754646,1545,1.1057033040727877,
61,0.22676579925650558,1043,0.746439188445254,TMA
62,0.23048327137546468,766,0.5481998258380294,
63,0.2342007434944238,497,0.3556857877826379,
64,0.2379182156133829,665,0.47591760337113515,
65,0.241635687732342,1044,0.7471548540142332,
66,0.24535315985130113,730,0.5224358653547799,
67,0.24907063197026022,798,0.5711011240453622,
68,0.2527881040892193,835,0.5975807500975907,
69,0.25650557620817843,706,0.5052598916992803,
70,0.26022304832713755,1936,1.3855285415436356,
71,0.26394052044609667,1340,0.9589918624320618,
72,0.26765799256505574,1727,1.235954437626993,
73,0.27137546468401486,1537,1.0999779795209546,
74,0.275092936802974,1622,1.1608095528841822,
75,0.2788104089219331,1272,0.9103266037414796,
76,0.2825278810408922,882,0.6312170318396109,
77,0.2862453531598513,908,0.6498243366330687,
78,0.2899628252788104,601,0.43011500695646954,
79,0.2936802973977695,488,0.3492447976618255,
80,0.29739776951672864,527,0.37715575485201236,
81,0.30111524163568776,121,0.08659553384647722,
82,0.3048327137546468,101,0.07228222246689421,
83,0.30855018587360594,257,0.18392605122764172,
84,0.31226765799256506,406,0.29056022100553514,
85,0.3159851301115242,648,0.4637512886984896,
86,0.31970260223048325,911,0.6519713333400062,
87,0.32342007434944237,902,0.6455303432191939,
88,0.3271375464684015,432,0.30916752579899304,
89,0.3308550185873606,491,0.35139179436876294,
90,0.3345724907063197,938,0.6712943037024433,
91,0.3382899628252788,902,0.6455303432191939,
92,0.3420074349442379,1313,0.9396688920696248,
93,0.34572490706319703,1184,0.8473480336713143,
94,0.34944237918215615,1623,1.1615252184531615,
95,0.35315985130111527,1546,1.1064189696417668,
96,0.35687732342007433,1201,0.8595143483439599,
97,0.36059479553903345,1136,0.8129960863603151,
98,0.3643122676579926,928,0.6641376480126517,
99,0.3680297397769517,1257,0.8995916202067923,
100,0.37174721189591076,1252,0.8960132923618965,
101,0.3754646840148699,1378,0.9861871540532695,
102,0.379182156133829,1328,0.950403875604312,
103,0.3828996282527881,1183,0.8466323681023352,
104,0.38661710037174724,611,0.437271662646261,
105,0.3903345724907063,731,0.5231515309237591,
106,0.3940520446096654,1015,0.7264005525138378,
107,0.39776951672862454,1308,0.936090564224729,
108,0.40148698884758366,1210,0.8659553384647722,
109,0.4052044609665427,1073,0.7679091555146286,
110,0.40892193308550184,1089,0.779359804618295,
111,0.41263940520446096,706,0.5052598916992803,
112,0.4163568773234201,696,0.4981032360094888,
113,0.4200743494423792,882,0.6312170318396109,
114,0.42379182156133827,1320,0.9446785510524788,
115,0.4275092936802974,1434,1.026264425916102,
116,0.4312267657992565,1275,0.9124736004484171,
117,0.4349442379182156,1157,0.8280250633088773,
118,0.43866171003717475,1137,0.8137117519292942,
119,0.4423791821561338,889,0.6362266908224649,
120,0.44609665427509293,1479,1.0584693765201638,
121,0.44981412639405205,1849,1.3232656370424494,
122,0.45353159851301117,2177,1.558003943667611,
123,0.45724907063197023,2252,1.611678861341047,
124,0.46096654275092935,1887,1.3504609286636573,TMA
125,0.4646840148698885,1374,0.9833244917773529,
126,0.4684014869888476,2267,1.6224138448757344,
127,0.4721189591078067,2185,1.5637292682194441,
128,0.4758364312267658,2889,2.067557828780766,
129,0.4795539033457249,2354,1.6846767493769206,
130,0.483271375464684,2274,1.6274235038585885,
131,0.48698884758364314,2326,1.6646381134455044,
132,0.49070631970260226,1569,1.1228792777282872,
133,0.4944237918215613,1428,1.021970432502227,
134,0.49814126394052044,2615,1.8714654628804788,
135,0.5018587360594795,2663,1.905817410191478,
136,0.5055762081784386,2303,1.648177805358984,
137,0.5092936802973977,1806,1.292492017576346,
138,0.5130111524163569,1904,1.3626272433363027,
139,0.516728624535316,1120,0.8015454372566487,
140,0.5204460966542751,883,0.63193269740859,
141,0.5241635687732342,1475,1.0556067142442471,
142,0.5278810408921933,2314,1.6560501266177545,
143,0.5315985130111525,2294,1.6417368152381715,
144,0.5353159851301115,1838,1.3153933157836788,
145,0.5390334572490706,1682,1.2037494870229313,
146,0.5427509293680297,1436,1.0276957570540604,
147,0.5464684014869888,2101,1.5036133604251953,
148,0.550185873605948,2250,1.610247530203089,
149,0.5539033457249071,3020,2.161310018317035,
150,0.5576208178438662,3542,2.5348874453241517,
151,0.5613382899628253,2280,1.6317174972724633,
152,0.5650557620817844,2139,1.530808652046403,
153,0.5687732342007435,2031,1.453516770596655,
154,0.5724907063197026,1163,0.8323190567227522,
155,0.5762081784386617,2885,2.0646951665048494,
